,type,date_open,date_close,x_name,y_name,x_type,y_type,y_openprice,y_closeprice,x_openprice,x_closeprice,x_volume,y_volume,expo,return,roi,status,s_spread,l_spread,tp_short,tp_long,s_number,period,count,min_count,std_returns,std_profit
0,long_spread,2021-01-15 12:25:00,2021-01-15 13:05:00,BBSE3,CYRE3,sell,buy,27.44,27.32,27.27,27.42,200,200,11070.0,-54.000000000000625,-0.004878048780487861,close,1,-1,0,1,31,26,75,75,,
1,short_spread,2021-01-18 16:45:00,2021-01-21 10:35:00,BBDC3,B3SA3,buy,sell,19.0,18.85,20.54,19.7,300,300,11976.0,-207.00000000000037,-0.021793587174348723,close,2,-2,0,1,38,82,66,66,,
2,long_spread,2021-01-21 11:40:00,2021-01-21 14:30:00,BBDC3,B3SA3,sell,buy,18.47,18.32,19.56,19.59,300,300,11976.0,-53.999999999999915,-0.021793587174348723,close,2,-2,0,1,38,82,66,66,,
3,short_spread,2021-01-18 11:20:00,2021-01-19 12:30:00,CYRE3,BRML3,buy,sell,9.56,9.35,27.39,27.19,200,600,11196.0,86.00000000000065,-0.020364415862808058,close,1,-1,0,1,34,12,86,86,,
4,long_spread,2021-01-19 12:45:00,2021-01-20 14:25:00,CYRE3,BRML3,sell,buy,9.39,9.38,27.19,27.1,200,600,11196.0,12.0000000000001,-0.020364415862808058,close,1,-1,0,1,34,12,86,86,,
5,short_spread,2021-01-20 14:35:00,2021-01-21 15:00:00,CYRE3,BRML3,buy,sell,9.39,9.42,27.01,26.05,200,600,11196.0,-209.99999999999977,-0.020364415862808058,close,1,-1,0,1,34,12,86,86,,
6,short_spread,2021-01-21 15:35:00,2021-01-22 16:25:00,CYRE3,BRML3,buy,sell,9.39,9.13,26.06,24.7,200,600,11196.0,-116.0,-0.020364415862808058,close,1,-1,0,1,34,12,86,86,,
7,short_spread,2021-01-19 14:25:00,2021-01-22 13:15:00,B3SA3,BRML3,buy,sell,9.39,9.17,18.81,18.24,300,600,11358.0,-38.99999999999969,-0.0007923930269413917,close,0,-4,0,0,28,80,228,228,,
8,short_spread,2021-01-22 13:30:00,2021-01-22 16:25:00,B3SA3,BRML3,buy,sell,9.14,9.13,18.19,18.27,300,600,11358.0,29.99999999999936,-0.0007923930269413917,close,0,-4,0,0,28,80,228,228,,
9,long_spread,2021-01-19 12:20:00,2021-01-20 10:45:00,BBSE3,CYRE3,sell,buy,26.99,27.42,26.8,26.73,200,200,10958.0,100.00000000000071,0.00912575287461222,close,1,-1,0,1,31,26,75,75,,
10,short_spread,2021-01-19 14:50:00,2021-01-22 11:55:00,MULT3,BRML3,buy,sell,9.43,9.17,20.7,19.98,300,600,11994.0,-59.99999999999977,0.00475237618809408,close,2,-1,-1,0,50,41,203,203,,
11,long_spread,2021-01-22 12:10:00,2021-01-26 11:20:00,MULT3,BRML3,sell,buy,9.17,9.6,19.98,20.45,300,600,11994.0,117.00000000000017,0.00475237618809408,close,2,-1,-1,0,50,41,203,203,,
12,long_spread,2021-01-20 12:20:00,2021-01-21 11:50:00,CYRE3,B3SA3,sell,buy,18.79,18.52,27.08,26.43,200,300,11104.0,48.999999999999844,-0.023725724341650406,close,1,-1,0,1,31,26,75,75,,
13,short_spread,2021-01-21 11:55:00,2021-01-22 15:25:00,CYRE3,B3SA3,buy,sell,18.45,18.25,26.35,24.85,200,300,11104.0,-240.00000000000023,-0.023725724341650406,close,1,-1,0,1,31,26,75,75,,
14,short_spread,2021-01-22 16:35:00,2021-01-26 16:00:00,CYRE3,B3SA3,buy,sell,18.32,18.56,24.71,24.98,300,300,11104.0,9.000000000000341,-0.023725724341650406,close,1,-1,0,1,31,26,75,75,,
15,short_spread,2021-01-26 16:20:00,2021-01-27 15:45:00,CYRE3,B3SA3,buy,sell,18.53,18.59,24.95,24.79,300,300,11104.0,-65.99999999999966,-0.023725724341650406,close,1,-1,0,1,31,26,75,75,,
