,type,date_open,date_close,x_name,y_name,x_type,y_type,y_openprice,y_closeprice,x_openprice,x_closeprice,x_volume,y_volume,expo,return,roi,status,s_spread,l_spread,tp_short,tp_long,s_number,period,count,min_count,std_returns,std_profit
0,long_spread,2021-01-18 10:10:00,2021-01-19 10:10:00,BBSE3,CYRE3,sell,buy,27.39,27.78,27.3,27.01,200,200,11070.0,135.99999999999994,0.012285456187895206,close,1,-1,-1,1,48,78,241,241,,
1,short_spread,2021-01-18 11:15:00,2021-01-18 16:50:00,BBDC3,B3SA3,buy,sell,18.95,19.23,20.72,20.69,300,300,11976.0,-92.99999999999962,-0.007765531062124216,close,3,-5,-1,0,27,15,67,67,,
2,long_spread,2021-01-19 11:10:00,2021-01-20 10:10:00,BRML3,MULT3,sell,buy,20.94,20.81,9.39,9.45,600,300,12078.0,-75.0,-0.006209637357178341,close,4,-1,-1,0,49,10,227,227,,
3,long_spread,2021-01-19 10:10:00,2021-01-22 11:45:00,SULA11,MULT3,sell,buy,21.08,20.0,39.42,37.5,200,300,14216.0,60.00000000000085,0.004220596510973611,close,1,0,0,0,49,13,181,181,3.022746545530323,21.870995017426235
4,long_spread,2021-01-20 10:10:00,2021-01-21 10:40:00,CYRE3,BBSE3,sell,buy,26.65,26.28,27.08,27.2,200,200,10958.0,-97.99999999999969,-0.008943237817119884,close,1,0,-1,1,25,17,72,72,,
5,short_spread,2021-01-20 11:50:00,2021-01-21 13:25:00,SULA11,BRML3,buy,sell,9.43,9.31,38.32,37.57,200,600,13554.0,-78.00000000000047,-0.005754758742806586,close,2,0,-1,1,26,87,197,197,,
6,long_spread,2021-01-21 10:10:00,2021-01-22 10:10:00,CYRE3,MULT3,sell,buy,20.55,19.95,27.06,25.54,200,300,11659.0,123.99999999999946,0.010635560511193024,close,4,0,-1,1,35,78,186,186,,
7,short_spread,2021-01-21 15:25:00,2021-01-22 12:50:00,CYRE3,SULA11,buy,sell,38.05,37.47,26.16,25.19,200,200,13166.0,-78.00000000000011,-0.00592435060003039,close,2,-3,-1,0,32,64,209,209,,
8,short_spread,2021-01-22 16:25:00,2021-01-26 10:30:00,BRML3,B3SA3,buy,sell,18.27,18.28,9.15,9.34,600,300,11301.0,110.99999999999923,0.00982213963366067,close,3,-4,-1,0,25,76,248,248,,
9,long_spread,2021-01-26 10:35:00,2021-01-27 10:10:00,BBSE3,CYRE3,sell,buy,24.92,24.29,26.22,26.16,200,300,12900.0,-177.00000000000102,-0.013720930232558218,close,2,-1,0,1,34,39,146,146,,
10,long_spread,2021-01-26 12:45:00,2021-01-27 16:10:00,CYRE3,BBSE3,sell,buy,26.56,26.0,25.1,24.93,200,200,10346.0,-77.9999999999994,-0.007539145563502745,close,2,-1,0,1,34,39,146,146,,
11,short_spread,2021-01-28 15:05:00,2021-01-28 16:50:00,B3SA3,IRBR3,buy,sell,7.39,5.163258706467659,18.98,18.85,300,700,10177.0,1519.7189054726384,0.1493287712953364,close,3,-5,-1,0,40,33,198,198,,
12,long_spread,2021-01-27 10:10:00,2021-01-28 10:50:00,MULT3,SULA11,sell,buy,37.05,37.77,19.85,20.63,300,200,13413.0,-89.99999999999807,-0.006709908297919784,close,5,-2,0,0,42,72,240,240,,
13,short_spread,2021-01-28 16:50:00,2021-01-28 16:50:00,B3SA3,IRBR3,buy,sell,7.42,5.290223880597014,19.1,18.85,300,700,9947.0,1415.8432835820902,0.14233872359325325,close,4,-5,-1,0,37,54,175,175,,
