,type,date_open,date_close,x_name,y_name,x_type,y_type,y_openprice,y_closeprice,x_openprice,x_closeprice,x_volume,y_volume,expo,return,roi,status,s_spread,l_spread,tp_short,tp_long,s_number,period,count,min_count,std_returns,std_profit
0,short_spread,2021-01-18 11:55:00,2021-01-19 15:10:00,BRML3,MULT3,buy,sell,21.36,20.7,9.6,9.44,600,300,11832.0,101.99999999999997,0.008620689655172412,close,0,-4,0,1,40,22,242,242,,
1,short_spread,2021-01-18 10:10:00,2021-01-18 16:50:00,BBSE3,CYRE3,buy,sell,27.39,27.78,27.3,27.01,200,200,11070.0,-135.99999999999994,-0.012285456187895206,close,0,-4,0,1,40,22,242,242,,
2,long_spread,2021-01-19 11:15:00,2021-01-20 10:25:00,CYRE3,MULT3,sell,buy,20.95,20.84,27.07,27.4,200,300,11838.0,-98.99999999999949,-0.008362899138367925,close,1,-1,0,1,31,26,75,75,,
3,long_spread,2021-01-19 10:10:00,2021-01-20 10:10:00,SULA11,BRML3,sell,buy,9.45,9.45,39.42,38.75,200,600,13574.0,134.00000000000034,0.00987181376160309,close,2,0,0,1,40,39,227,227,,
4,short_spread,2021-01-20 10:10:00,2021-01-20 16:50:00,SULA11,BRML3,buy,sell,9.45,9.41,38.75,38.18,200,600,13554.0,-90.00000000000057,-0.006640106241699909,close,1,0,0,1,33,54,189,189,,
5,long_spread,2021-01-20 10:10:00,2021-01-21 11:35:00,CYRE3,IRBR3,sell,buy,7.59,7.55,27.08,26.42,200,700,10946.0,103.99999999999929,0.009501187648455992,close,0,0,0,0,35,68,220,220,,
6,long_spread,2021-01-21 10:15:00,2021-01-22 10:10:00,CYRE3,BBSE3,sell,buy,26.35,26.19,26.96,25.54,200,200,10746.0,252.0000000000003,0.023450586264656646,close,2,-3,-1,1,29,28,61,61,,
7,long_spread,2021-01-21 10:10:00,2021-01-22 10:10:00,CYRE3,IRBR3,sell,buy,7.6,7.34,27.06,25.54,200,700,10729.0,122.00000000000003,0.01137105042408426,close,0,0,0,1,30,36,53,53,,
8,short_spread,2021-01-22 11:00:00,2021-01-22 16:50:00,CYRE3,SULA11,buy,sell,37.47,37.26,25.7,24.82,200,200,13048.0,-133.99999999999963,-0.010269773145309597,close,1,0,-1,1,33,91,238,238,,
9,short_spread,2021-01-22 10:15:00,2021-01-26 11:15:00,B3SA3,BRML3,buy,sell,9.11,9.6,17.81,18.49,300,600,11301.0,-90.0000000000002,-0.007963897000265481,close,1,-5,0,1,34,17,156,156,,
10,short_spread,2021-01-26 10:15:00,2021-01-26 16:50:00,CYRE3,SULA11,buy,sell,37.41,37.05,24.84,24.29,300,200,15164.0,-93.00000000000034,-0.006132946452123473,close,1,-2,-1,1,32,25,61,61,,
11,long_spread,2021-01-28 13:45:00,2021-01-29 10:50:00,CYRE3,BBSE3,sell,buy,26.16,25.89,25.42,25.55,200,200,10346.0,-79.99999999999972,-0.007732456988207976,close,4,-3,0,0,26,43,241,241,,
12,short_spread,2021-01-27 10:10:00,2021-01-28 10:50:00,MULT3,SULA11,buy,sell,37.05,37.86,19.85,20.73,300,200,13413.0,101.99999999999926,0.007604562737642531,close,1,0,-1,1,32,27,164,164,,
13,long_spread,2021-01-27 10:10:00,2021-01-28 10:10:00,B3SA3,IRBR3,sell,buy,6.29,6.85,18.48,18.48,300,800,10856.0,447.99999999999966,0.04126750184229916,close,2,0,-1,1,46,35,137,137,,
14,short_spread,2021-01-28 10:10:00,2021-01-28 16:50:00,SULA11,MULT3,buy,sell,20.03,21.07,37.38,38.33,200,300,13365.0,-122.00000000000063,-0.009128320239431397,close,0,-1,0,1,25,44,80,80,,
15,long_spread,2021-01-28 10:25:00,2021-01-29 10:10:00,MULT3,SULA11,sell,buy,37.42,38.33,20.06,21.07,300,200,13365.0,-121.00000000000114,-0.009053497942386916,close,1,-1,0,1,31,37,76,76,,
16,long_spread,2021-02-02 15:40:00,2021-02-03 10:45:00,B3SA3,ITUB4,sell,buy,22.93,22.85,19.68,20.03,300,300,12603.0,-128.99999999999991,-0.010235658176624607,close,2,-4,0,0,33,68,196,196,,
17,short_spread,2021-02-03 15:35:00,2021-02-04 13:20:00,B3SA3,BRML3,buy,sell,10.22,9.95,19.69,19.61,300,500,10489.0,111.00000000000013,0.010582515015730778,close,2,-4,-1,0,29,60,226,226,,
18,short_spread,2021-02-03 10:50:00,2021-02-03 16:50:00,B3SA3,BRML3,buy,sell,9.94,10.16,19.89,19.48,300,600,11799.0,-255.00000000000045,-0.02161200101703538,close,0,-3,-1,0,30,57,194,194,,
19,short_spread,2021-02-03 15:25:00,2021-02-05 13:00:00,BBSE3,CYRE3,buy,sell,26.97,26.16,26.32,26.03,200,200,10400.0,103.99999999999991,0.009999999999999992,close,2,-5,0,1,32,75,153,153,,
20,short_spread,2021-02-04 14:20:00,2021-02-05 13:10:00,BBSE3,CYRE3,buy,sell,26.88,26.17,26.26,26.07,200,200,10444.0,103.9999999999992,0.009957870547682804,close,3,-4,0,1,33,31,142,142,,
21,short_spread,2021-02-08 11:35:00,2021-02-08 16:50:00,BBSE3,ITUB4,buy,sell,22.38,21.91,26.02,26.0,200,300,12064.0,136.99999999999974,0.011356100795755946,close,2,-5,-1,1,49,18,58,58,,
22,short_spread,2021-02-05 10:10:00,2021-02-05 16:50:00,SULA11,BBDC3,buy,sell,19.91,19.63,37.13,37.39,200,300,13505.0,135.99999999999994,0.010070344316919656,close,1,-1,0,1,42,58,54,54,,
23,long_spread,2021-02-09 12:30:00,2021-02-10 11:45:00,BBSE3,SULA11,sell,buy,36.31,36.24,26.07,26.43,200,200,12752.0,-85.99999999999994,-0.006744040150564613,close,1,-3,0,1,34,30,190,190,,
24,long_spread,2021-02-10 10:10:00,2021-02-12 12:55:00,BBDC3,BBDC4,sell,buy,22.13,22.24,19.47,19.56,300,300,12363.0,5.999999999999872,0.00048531909730646866,close,0,0,0,1,25,33,115,115,,
25,short_spread,2021-02-12 13:00:00,2021-02-17 16:25:00,BBDC3,BBDC4,buy,sell,22.17,22.0,19.5,19.33,300,300,12363.0,0.0,0.00048531909730646866,close,0,0,0,1,25,33,115,115,,
26,long_spread,2021-02-10 11:00:00,2021-02-11 10:10:00,SULA11,BBDC3,sell,buy,19.43,19.57,36.44,36.06,200,300,13158.0,117.99999999999926,0.00896792825657389,close,1,-1,0,1,31,26,75,75,,
27,short_spread,2021-02-11 10:15:00,2021-02-18 13:35:00,BBDC4,BBDC3,buy,sell,19.6,19.06,22.21,21.86,300,300,12480.0,57.00000000000037,0.004567307692307722,close,2,-2,0,1,28,63,204,204,3.0776975521032517,18.117670931993555
28,long_spread,2021-02-11 10:10:00,2021-02-17 16:35:00,BBDC3,BBDC4,sell,buy,22.17,22.05,19.57,19.36,300,300,12480.0,26.999999999999957,0.002163461538461535,close,2,-1,0,1,26,45,158,158,1.4230194263717564,11.430765240846998
29,long_spread,2021-02-12 10:10:00,2021-02-18 11:35:00,BBDC4,BBDC3,sell,buy,19.29,19.36,21.86,22.18,300,300,12522.0,-75.0,-0.005989458552946814,close,0,-1,0,0,49,11,191,191,,
30,long_spread,2021-02-12 11:10:00,2021-02-19 16:30:00,BBDC3,BBDC4,sell,buy,21.93,21.65,19.29,19.05,300,300,12522.0,-12.00000000000081,-0.0009583133684715548,close,1,-1,0,1,31,92,250,250,,
31,short_spread,2021-02-17 10:25:00,2021-02-17 16:50:00,BBDC4,BBDC3,buy,sell,17.316791044776117,19.18,19.71022332506204,21.98,300,300,12345.0,121.97031591422376,0.009880138996696942,close,2,-5,-1,1,41,56,188,188,,
32,short_spread,2021-02-18 10:50:00,2021-02-19 10:55:00,BBSE3,BRML3,buy,sell,9.39,9.22,25.97,26.01,200,600,9726.430693069295,110.0000000000005,0.011309390203991536,close,0,-4,0,1,40,22,242,242,,
33,short_spread,2021-02-18 10:10:00,2021-02-19 16:50:00,MULT3,ITUB4,buy,sell,22.48,21.0,20.55,19.6,300,300,11507.43748618038,159.00000000000034,0.01381715088098007,close,0,-4,0,1,40,22,242,242,,
34,long_spread,2021-02-19 10:20:00,2021-02-22 14:00:00,MULT3,ITSA4,sell,buy,9.45,8.93,20.39,19.6,300,600,11919.0,-75.00000000000003,-0.006292474200855779,close,2,-1,0,1,34,40,165,165,,
35,long_spread,2021-02-19 11:10:00,2021-02-22 10:10:00,MULT3,ITUB4,sell,buy,22.34,21.0,20.44,19.6,300,300,12909.0,-150.0,-0.011619800139437602,close,3,-2,0,0,50,50,164,164,,
36,long_spread,2021-02-22 10:10:00,2021-02-23 16:30:00,BRML3,BBSE3,sell,buy,24.97,25.09,8.9,8.88,600,300,13353.0,48.00000000000004,0.003982576228998167,close,1,-1,0,1,31,26,75,75,2.459105979022964,23.82350616478155
37,short_spread,2021-02-23 16:35:00,2021-02-25 10:20:00,BRML3,BBSE3,buy,sell,25.07,24.83,8.88,8.8,600,200,13353.0,3.552713678800501e-13,0.003982576228998167,close,1,-1,0,1,31,26,75,75,2.459105979022964,23.82350616478155
38,long_spread,2021-02-22 15:05:00,2021-02-23 10:10:00,BBDC4,BBAS3,sell,buy,26.66,27.61,20.48,20.6,300,200,12639.0,153.99999999999955,0.012184508268059146,close,1,-3,-1,0,26,63,115,115,,
39,short_spread,2021-02-23 16:05:00,2021-02-25 10:10:00,B3SA3,MULT3,buy,sell,19.76,19.34,17.4,17.35,300,300,11079.0,111.00000000000136,0.010018954779312335,close,2,-4,-1,0,32,57,181,181,,
