,type,date_open,date_close,x_name,y_name,x_type,y_type,y_openprice,y_closeprice,x_openprice,x_closeprice,x_volume,y_volume,profit,status,s_spread,l_spread,tp_short,tp_long,tp_return,s_return,s_number,period,count,days,min_count
0,short_spread,2020-02-14 15:25:00,2020-02-19 12:15:00,MULT3,BBSE3,buy,sell,32.32,31.41,33.11,33.5,1000.0,1000.0,1300.0000000000007,close,1,-3,-1,0,1057,-48,43,144,206,10,206
1,short_spread,2020-02-17 10:10:00,2020-02-19 16:25:00,BBDC3,BBDC4,buy,sell,25.71,25.78,24.16,24.08,1000.0,900.0,-143.0000000000021,close,2,-5,-1,1,1395,-41,26,102,178,,178
2,long_spread,2020-02-14 11:15:00,2020-02-18 13:05:00,BBDC3,BBDC4,sell,buy,26.19,25.16,24.7,23.6,1000.0,900.0,172.99999999999693,close,2,0,-1,1,2754,-39,32,11,183,10,183
3,long_spread,2020-02-18 13:10:00,2020-02-20 16:05:00,BBDC3,BBDC4,sell,buy,25.17,25.39,23.6,23.64,1000.0,900.0,157.99999999999983,close,2,0,-1,1,2754,-39,32,11,183,10,183
4,short_spread,2020-02-18 15:15:00,2020-02-21 14:10:00,BBDC4,BBDC3,buy,sell,23.67,23.26,25.21,25.23,900.0,1000.0,427.9999999999997,close,0,-3,-1,0,2169,-92,31,142,231,10,231
5,short_spread,2020-02-18 13:50:00,2020-02-20 12:25:00,B3SA3,SANB11,buy,sell,37.69,38.69,15.93,16.31,1000.0,400.0,-20.000000000001023,close,0,-3,0,1,2073,-75,33,66,146,10,146
6,short_spread,2020-02-18 12:55:00,2020-02-19 15:15:00,CIEL3,SULA11,buy,sell,52.9,54.18,7.1,7.16,1000.0,100.0,-67.99999999999962,close,2,-2,0,1,2731,-255,37,20,109,,109
7,short_spread,2020-02-19 15:55:00,2020-02-21 11:25:00,CIEL3,SULA11,buy,sell,54.44,52.03,7.2,6.88,1000.0,100.0,-79.00000000000063,close,2,-2,0,1,2731,-255,37,20,109,,109
8,long_spread,2020-02-21 11:45:00,2020-02-26 14:40:00,CIEL3,SULA11,sell,buy,51.99,50.16,6.83,6.87,1000.0,100.0,-223.00000000000057,close,2,-2,0,1,2731,-255,37,20,109,,109
9,long_spread,2020-02-19 15:05:00,2020-02-26 16:30:00,BBDC4,BBDC3,sell,buy,24.23,21.7,25.92,23.89,900.0,1000.0,-703.0,close,1,0,0,0,775,-213,36,140,121,,121
10,long_spread,2020-02-19 13:25:00,2020-02-26 14:05:00,BBAS3,BPAC11,sell,buy,18.01,16.51,47.47,44.05,400.0,1000.0,-131.99999999999932,close,3,0,-1,0,2777,-99,30,39,250,,250
11,long_spread,2020-02-19 14:00:00,2020-02-20 13:45:00,CIEL3,MULT3,sell,buy,33.69,33.12,7.17,7.16,1000.0,200.0,-104.00000000000027,close,3,0,-1,1,2930,-244,33,41,61,10,61
12,long_spread,2020-02-20 14:20:00,2020-02-21 12:45:00,CIEL3,MULT3,sell,buy,33.11,32.86,7.12,6.87,1000.0,200.0,200.0,close,3,0,-1,1,2930,-244,33,41,61,10,61
13,long_spread,2020-02-26 10:45:00,2020-02-27 10:10:00,CIEL3,MULT3,sell,buy,29.574925742574262,30.45,6.333019801980191,6.68,1000.0,200.0,-171.96534653466136,close,3,0,-1,1,2930,-244,33,41,61,10,61
14,long_spread,2020-02-27 10:15:00,2020-02-27 15:25:00,CIEL3,MULT3,sell,buy,30.41,30.4,6.61,6.62,1000.0,200.0,-12.0000000000001,close,3,0,-1,1,2930,-244,33,41,61,10,61
15,short_spread,2020-02-20 12:05:00,2020-02-27 15:00:00,ITUB4,BBSE3,buy,sell,31.54,30.14,32.28,31.34,1000.0,1000.0,459.9999999999974,close,1,-2,0,0,2292,-119,28,102,200,10,200
16,long_spread,2020-02-20 11:05:00,2020-02-20 15:55:00,BBAS3,MULT3,sell,buy,33.4,33.23,46.99,46.26,700.0,1000.0,341.0000000000011,close,4,-1,0,1,992,-56,25,10,52,,52
17,long_spread,2020-02-20 16:25:00,2020-02-21 14:35:00,BBAS3,MULT3,sell,buy,33.27,33.1,46.33,46.38,700.0,1000.0,-205.0000000000047,close,4,-1,0,1,992,-56,25,10,52,,52
18,long_spread,2020-02-21 15:35:00,2020-02-26 13:30:00,BBAS3,MULT3,sell,buy,32.87,31.26,46.07,43.9,700.0,1000.0,-90.99999999999477,close,4,-1,0,1,992,-56,25,10,52,,52
