,type,date_open,date_close,x_name,y_name,x_type,y_type,y_openprice,y_closeprice,x_openprice,x_closeprice,x_volume,y_volume,profit,status,s_spread,l_spread,tp_short,tp_long,tp_return,s_return,s_number,period,count,days,min_count
0,short_spread,2020-02-14 15:25:00,2020-02-19 12:15:00,MULT3,BBSE3,buy,sell,32.32,31.41,33.11,33.5,1000.0,1000.0,1300.0000000000007,close,1,-3,-1,0,1057,-48,43,144,206,10,206
1,long_spread,2020-02-14 12:50:00,2020-02-18 13:20:00,ITUB4,BBDC4,sell,buy,26.01,25.07,32.23,31.24,800.0,1000.0,-148.0000000000025,close,0,-3,0,1,1960,-216,49,112,55,10,55
2,short_spread,2020-02-18 13:25:00,2020-02-19 11:10:00,ITUB4,BBDC4,buy,sell,25.09,25.7,31.27,32.44,800.0,1000.0,325.9999999999991,close,0,-3,0,1,1960,-216,49,112,55,10,55
3,long_spread,2020-02-14 14:15:00,2020-02-18 11:35:00,ITUB4,ITSA4,sell,buy,12.26,12.28,32.14,31.66,400.0,1000.0,211.99999999999974,close,5,-1,0,0,703,-193,49,49,120,10,120
4,long_spread,2020-02-19 12:50:00,2020-02-20 16:30:00,ITUB4,ITSA4,sell,buy,12.58,12.48,32.46,32.14,400.0,1000.0,28.00000000000047,close,5,-1,0,0,703,-193,49,49,120,10,120
5,long_spread,2020-02-14 11:15:00,2020-02-18 13:05:00,BBDC3,BBDC4,sell,buy,26.19,25.16,24.7,23.6,1000.0,900.0,172.99999999999693,close,2,0,-1,1,2754,-39,32,11,183,10,183
6,long_spread,2020-02-18 13:10:00,2020-02-20 16:05:00,BBDC3,BBDC4,sell,buy,25.17,25.39,23.6,23.64,1000.0,900.0,157.99999999999983,close,2,0,-1,1,2754,-39,32,11,183,10,183
7,short_spread,2020-02-18 15:15:00,2020-02-21 14:10:00,BBDC4,BBDC3,buy,sell,23.67,23.26,25.21,25.23,900.0,1000.0,427.9999999999997,close,0,-3,-1,0,2169,-92,31,142,231,10,231
8,short_spread,2020-02-18 13:50:00,2020-02-20 12:25:00,B3SA3,SANB11,buy,sell,37.69,38.69,15.93,16.31,1000.0,400.0,-20.000000000001023,close,0,-3,0,1,2073,-75,33,66,146,10,146
9,short_spread,2020-02-18 12:55:00,2020-02-19 15:15:00,CIEL3,SULA11,buy,sell,52.9,54.18,7.1,7.16,1000.0,100.0,-67.99999999999962,close,2,-2,0,1,2731,-255,37,20,109,10,109
10,short_spread,2020-02-19 15:55:00,2020-02-21 11:25:00,CIEL3,SULA11,buy,sell,54.44,52.03,7.2,6.88,1000.0,100.0,-79.00000000000063,close,2,-2,0,1,2731,-255,37,20,109,10,109
11,long_spread,2020-02-19 15:30:00,2020-02-26 16:30:00,ITUB4,BBSE3,sell,buy,31.49,29.86,32.07,30.15,1000.0,1000.0,290.00000000000273,close,2,-1,-1,1,1997,-8,48,145,209,10,209
12,short_spread,2020-02-19 15:30:00,2020-02-21 14:05:00,IGTA3,ITSA4,buy,sell,12.49,12.34,54.85,54.89,200.0,1000.0,158.00000000000017,close,2,-4,0,0,1592,-90,25,101,146,10,146
13,long_spread,2020-02-19 15:05:00,2020-02-26 13:10:00,BBDC4,BBDC3,sell,buy,24.23,21.99,25.92,24.28,900.0,1000.0,-764.0000000000014,close,1,0,0,0,775,-213,36,140,121,,121
14,long_spread,2020-02-19 13:25:00,2020-02-27 10:30:00,BBAS3,BPAC11,sell,buy,18.01,16.02,47.47,42.88,400.0,1000.0,-154.0000000000034,close,3,0,-1,0,2777,-99,30,39,250,,250
15,long_spread,2020-02-19 14:00:00,2020-02-20 13:45:00,CIEL3,MULT3,sell,buy,33.69,33.12,7.17,7.16,1000.0,200.0,-104.00000000000027,close,3,0,-1,1,2930,-244,33,41,61,10,61
16,long_spread,2020-02-20 14:20:00,2020-02-21 12:45:00,CIEL3,MULT3,sell,buy,33.11,32.86,7.12,6.87,1000.0,200.0,200.0,close,3,0,-1,1,2930,-244,33,41,61,10,61
