,type,date_open,date_close,x_name,y_name,x_type,y_type,y_openprice,y_closeprice,x_openprice,x_closeprice,x_volume,y_volume,profit,status,s_spread,l_spread,tp_short,tp_long,tp_return,s_return,s_number,period,count,days,min_count
0,short_spread,2020-02-14 16:30:00,2020-02-18 13:00:00,ITUB4,BBDC4,buy,sell,25.79,25.16,32.13,31.47,800.0,1000.0,101.99999999999602,close,0,-4,0,1,1660,-171,41,150,121,10,121
1,short_spread,2020-02-14 15:25:00,2020-02-19 12:15:00,MULT3,BBSE3,buy,sell,32.32,31.41,33.11,33.5,1000.0,1000.0,1300.0000000000007,close,1,-3,-1,0,1057,-48,43,144,206,10,206
2,short_spread,2020-02-14 14:40:00,2020-02-19 14:40:00,ITUB4,ITSA4,buy,sell,12.31,12.58,32.27,32.3,400.0,1000.0,-258.00000000000193,close,2,-2,0,1,2970,-272,30,50,242,10,242
3,long_spread,2020-02-14 11:15:00,2020-02-18 13:05:00,BBDC3,BBDC4,sell,buy,26.19,25.16,24.7,23.6,1000.0,900.0,172.99999999999693,close,2,0,-1,1,2754,-39,32,11,183,10,183
4,long_spread,2020-02-18 13:10:00,2020-02-20 16:05:00,BBDC3,BBDC4,sell,buy,25.17,25.39,23.6,23.64,1000.0,900.0,157.99999999999983,close,2,0,-1,1,2754,-39,32,11,183,10,183
5,long_spread,2020-02-17 16:45:00,2020-02-20 10:50:00,ITUB4,ITSA4,sell,buy,12.33,12.56,31.83,32.3,400.0,1000.0,42.00000000000088,close,3,0,0,0,2002,-230,31,41,172,10,172
6,short_spread,2020-02-18 15:15:00,2020-02-21 14:10:00,BBDC4,BBDC3,buy,sell,23.67,23.26,25.21,25.23,900.0,1000.0,427.9999999999997,close,0,-3,-1,0,2169,-92,31,142,231,10,231
7,short_spread,2020-02-18 13:50:00,2020-02-20 12:25:00,B3SA3,SANB11,buy,sell,37.69,38.69,15.93,16.31,1000.0,400.0,-20.000000000001023,close,0,-3,0,1,2073,-75,33,66,146,10,146
8,short_spread,2020-02-18 12:55:00,2020-02-19 15:15:00,CIEL3,SULA11,buy,sell,52.9,54.18,7.1,7.16,1000.0,100.0,-67.99999999999962,close,2,-2,0,1,2731,-255,37,20,109,10,109
9,short_spread,2020-02-19 15:55:00,2020-02-21 11:25:00,CIEL3,SULA11,buy,sell,54.44,52.03,7.2,6.88,1000.0,100.0,-79.00000000000063,close,2,-2,0,1,2731,-255,37,20,109,10,109
