,type,date_open,date_close,x_name,y_name,x_type,y_type,y_openprice,y_closeprice,x_openprice,x_closeprice,x_volume,y_volume,profit,status,s_spread,l_spread,tp_short,tp_long,tp_return,s_return,s_number,period,count,days,min_count
0,short_spread,2020-02-03 11:20:00,2020-02-03 15:50:00,BBDC3,ITSA4,buy,sell,12.08,12.09,24.75,24.97,1000.0,2000.0,199.9999999999993,close,1,-5,-1,0,2446,-4,27,11,55,10,55
1,short_spread,2020-02-03 16:05:00,2020-02-04 14:00:00,BBDC3,ITSA4,buy,sell,12.06,12.14,24.86,24.95,1000.0,2000.0,-70.00000000000028,close,1,-5,-1,0,2446,-4,27,11,55,10,55
2,short_spread,2020-02-04 14:30:00,2020-02-05 12:15:00,BBDC3,ITSA4,buy,sell,12.12,12.29,24.96,25.74,1000.0,2000.0,439.9999999999977,close,1,-5,-1,0,2446,-4,27,11,55,10,55
3,short_spread,2020-02-05 12:50:00,2020-02-06 10:55:00,BBDC3,ITSA4,buy,sell,12.25,12.23,25.54,25.79,1000.0,2000.0,289.99999999999915,close,1,-5,-1,0,2446,-4,27,11,55,10,55
4,short_spread,2020-02-06 11:20:00,2020-02-07 11:00:00,BBDC3,ITSA4,buy,sell,12.22,12.01,25.78,25.12,1000.0,2000.0,-239.9999999999984,close,1,-5,-1,0,2446,-4,27,11,55,10,55
5,short_spread,2020-02-07 11:50:00,2020-02-07 16:25:00,BBDC3,ITSA4,buy,sell,11.99,12.0,24.94,25.14,1000.0,2000.0,179.99999999999972,close,1,-5,-1,0,2446,-4,27,11,55,10,55
6,long_spread,2020-02-04 11:20:00,2020-02-07 11:55:00,BBDC3,ITSA4,sell,buy,12.14,12.0,25.08,24.89,1000.0,2000.0,-90.00000000000341,close,0,-1,-1,1,1716,-114,36,12,249,10,249
7,short_spread,2020-02-05 12:55:00,2020-02-07 15:15:00,MULT3,BBSE3,buy,sell,30.8,31.48,34.93,33.34,1800.0,2000.0,-4221.999999999993,close,2,-5,-1,1,709,-52,28,16,171,,171
8,long_spread,2020-02-06 13:10:00,2020-02-11 10:50:00,BBDC3,BBDC4,sell,buy,26.73,27.29,25.37,25.5,2000.0,1800.0,747.9999999999998,close,1,-2,0,0,2003,-145,29,114,215,10,215
9,long_spread,2020-02-06 12:30:00,2020-02-10 14:30:00,B3SA3,BBSE3,sell,buy,30.77,31.49,15.2,15.08,2000.0,1000.0,959.9999999999973,close,5,-2,0,1,2497,-85,48,18,138,10,138
10,short_spread,2020-02-06 13:40:00,2020-02-11 12:25:00,MULT3,ITSA4,buy,sell,12.08,12.51,33.71,32.96,800.0,2000.0,-1459.9999999999995,close,2,-5,-1,1,2489,-203,25,13,226,,226
11,short_spread,2020-02-10 10:55:00,2020-02-12 16:10:00,BBDC3,BBDC4,buy,sell,26.75,27.02,25.23,25.63,2000.0,1800.0,313.99999999999795,close,2,-5,-1,1,1246,-48,33,104,226,10,226
12,short_spread,2020-02-10 15:20:00,2020-02-13 10:50:00,B3SA3,BBSE3,buy,sell,31.52,32.69,14.91,15.46,2000.0,1000.0,-69.99999999999682,close,2,0,-1,1,916,-125,26,143,119,10,119
13,short_spread,2020-02-10 15:25:00,2020-02-13 12:15:00,BBDC3,BBDC4,buy,sell,27.11,26.27,25.33,24.75,2000.0,1800.0,352.0000000000032,close,1,-3,-1,0,1057,-48,43,144,206,10,206
14,short_spread,2020-02-10 14:10:00,2020-02-13 12:15:00,MULT3,SANB11,buy,sell,39.48,38.85,32.14,33.11,2000.0,1600.0,2947.9999999999905,close,1,-3,-1,0,784,-43,40,126,221,10,221
15,short_spread,2020-02-10 14:40:00,2020-02-13 14:40:00,BPAC11,CIEL3,buy,sell,7.04,6.99,18.35,19.6,800.0,2000.0,1099.9999999999995,close,0,-3,-1,1,1853,-72,40,135,213,10,213
16,short_spread,2020-02-10 15:10:00,2020-02-13 11:45:00,BPAC11,ITSA4,buy,sell,12.25,12.39,18.28,19.19,1400.0,2000.0,993.9999999999991,close,2,-5,-1,1,2195,-18,32,51,203,10,203
17,short_spread,2020-02-11 13:00:00,2020-02-14 13:10:00,BBDC3,BBDC4,buy,sell,27.43,25.99,25.68,24.53,2000.0,1800.0,292.000000000005,close,1,-2,0,0,2000,-247,31,115,235,10,235
18,long_spread,2020-02-12 13:25:00,2020-02-17 16:30:00,ITSA4,SANB11,sell,buy,39.66,38.23,12.48,12.3,2000.0,600.0,-498.00000000000034,close,3,0,0,1,2401,-274,49,119,225,,225
19,long_spread,2020-02-11 13:10:00,2020-02-14 10:20:00,BBSE3,B3SA3,sell,buy,15.32,15.44,32.78,32.46,1000.0,2000.0,559.9999999999987,close,5,-1,0,0,773,-182,48,20,209,10,209
20,short_spread,2020-02-13 16:25:00,2020-02-18 13:20:00,MULT3,BBSE3,buy,sell,32.9,30.69,33.01,33.03,2000.0,2000.0,4460.000000000001,close,1,-3,-1,1,825,-16,35,148,207,10,207
21,long_spread,2020-02-13 13:55:00,2020-02-18 12:30:00,BPAC11,CIEL3,sell,buy,7.0,7.13,19.59,18.51,800.0,2000.0,1123.9999999999984,close,1,-1,0,0,2830,-108,32,125,226,10,226
22,short_spread,2020-02-13 15:00:00,2020-02-17 15:45:00,BBDC3,BBDC4,buy,sell,26.18,25.52,24.77,24.14,2000.0,1800.0,-71.99999999999773,close,2,-4,-1,1,2562,-104,26,99,161,10,161
23,short_spread,2020-02-14 15:30:00,2020-02-19 15:00:00,MULT3,BBSE3,buy,sell,32.35,31.54,33.1,33.63,2000.0,2000.0,2680.000000000007,close,0,-2,-1,0,1939,-37,45,145,238,10,238
24,short_spread,2020-02-14 13:25:00,2020-02-17 15:55:00,BBDC3,BBDC4,buy,sell,25.97,25.56,24.53,24.15,2000.0,1800.0,-22.00000000000489,close,2,-5,-1,0,2157,-12,25,53,112,,112
25,long_spread,2020-02-17 14:05:00,2020-02-20 15:25:00,SANB11,B3SA3,sell,buy,16.04,16.21,38.18,38.52,800.0,2000.0,68.00000000000068,close,4,0,0,1,1639,-186,44,25,205,10,205
26,short_spread,2020-02-14 14:20:00,2020-02-18 15:45:00,BBDC3,BBDC4,buy,sell,25.93,25.18,24.44,23.64,2000.0,1800.0,-250.00000000000136,close,1,-1,-1,0,1613,-241,46,50,167,,167
27,long_spread,2020-02-17 16:00:00,2020-02-20 10:15:00,BBDC4,BBDC3,sell,buy,24.15,24.05,25.56,25.79,1800.0,2000.0,-613.9999999999966,close,3,0,-1,0,1368,-244,27,48,137,,137
